section,subsection,question,answer
Classical models,Linear Regression,What Is a Linear Regression Model? List Its Drawbacks.,"A linear regression model is a model in which there is a linear relationship between the dependent and independent variables. 
Here are the drawbacks of linear regression: 
Only the mean of the dependent variable is taken into consideration. 
It assumes that the data is independent. 
The method is sensitive to outlier data values. 
"
Classical models,Linear Regression,What are various assumptions used in linear regression? What would happen if they are violated?,"Linear regression is done under the following assumptions:
The sample data used for modeling represents the entire population.
There exists a linear relationship between the X-axis variable and the mean of the Y variable.
The residual variance is the same for any X values. This is called homoscedasticity. Residual Variance (also called unexplained variance or error variance) is the variance of any error (residual).
The errors or residuals of the data are normally distributed and independent from each other. 
There is minimal multicollinearity between explanatory variables 
Extreme violations of the above assumptions lead to redundant results. Smaller violations of these result in greater variance or bias of the estimates.
"
Classical models,Linear Regression,What methods for solving linear regression do you know?,"To solve linear regression, you need to find the coefficients which minimize the sum of squared errors.
Matrix Algebra method: Let's say you have X, a matrix of features, and y, a vector with the values you want to predict. After going through the matrix algebra and minimization problem, you get this solution:
But solving this requires you to find an inverse, which can be time-consuming, if not impossible. Luckily, there are methods like Singular Value Decomposition (SVD) or QR Decomposition that can reliably calculate this part  (called the pseudo-inverse) without actually needing to find an inverse. The popular python ML library sklearn uses SVD to solve least squares.
Alternative method: Gradient Descent. 
"
Classical models,Linear Regression,Maximum Likelihood Estimation for Linear Regression,"Linear regression can be written as a CPD in the following manner:
For linear regression we assume that μ(x) is linear and so μ(x)=βTx. We must also assume that the variance in the model is fixed (i.e. that it doesn't depend on x) and as such σ2(x)=σ2, a constant. This then implies that our parameter vector θ=(β,σ2).
In linear regression problems we need to make the assumption that the feature vectors are all independent and identically distributed (iid). This makes it far simpler to solve the log-likelihood problem, using properties of natural logarithms. Since we will be differentiating these values it is far easier to differentiate a sum than a product, hence the logarithm:
For reasons of increased computational ease, it is often easier to minimise the negative of the log-likelihood rather than maximise the log-likelihood itself. Hence, we can ""stick a minus sign in front of the log-likelihood"" to give us the negative log-likelihood (NLL):
Where RSS(β):=∑i=1N(yi−βTxi)2 is the Residual Sum of Squares, also known as the Sum of Squared Errors (SSE).
Since the first term in the equation is a constant we simply need to concern ourselves with minimising the RSS, which will be sufficient for producing the optimal parameter estimate.
To simply the notation we can write this latter term in matrix form. By defining the N×(p+1) matrix X we can write the RSS term as:
At this stage we now want to differentiate this term w.r.t. the parameter variable 

There is an extremely key assumption to make here. We need XTX to be positive-definite, which is only the case if there are more observations than there are dimensions. If this is not the case (which is extremely common in high-dimensional settings) then it is not possible to find a unique set of β coefficients and thus the following matrix equation will not hold.
Under the assumption of a positive-definite XTX we can set the differentiated equation to zero and solve for β:
The solution to this matrix equation provides 
"
Classical models,Linear Regression,Ordinary least squares,"The ordinary least squares (OLS) method can be defined as a linear regression technique that is used to estimate the unknown parameters in a model. The OLS method minimizes the sum of squared residuals (SSR), defined as the difference between the actual (observed values of the dependent variable) and the predicted values from the model. The Ordinary Least Squares (OLS) method achieves the minimization of the Sum of Squared Residuals (SSR) by optimizing the values of the coefficients in a regression model so that the total of the squares of the differences between the observed values and the values predicted by the model is as small as possible. The resulting line representing the dependent variable of the linear regression model is called the regression line. This regression line represents the best fit for the data.
The OLS method relies on several assumptions to be valid. The following is the list of key assumptions:
Linearity: There must be linear relationship between the dependent variable and the independent variables.
Independence: The observations must be independent of each other.
Homoscedasticity: The variance of the residuals should be constant across all levels of the independent variables.
Normality: The residuals / errors should be normally distributed.
No multicollinearity: The independent variables should not be highly correlated with each other.
"
Classical models,Linear Regression,Maximum a-posteriori Estimation as Regularization,"Maximum a-posteriori (MAP) method adds a prior distribution of the parameters θ:
θMAP=argmaxθp(x|y,θ)p(θ)
The optimal solution must still match the data but it has also to conform to your prior knowledge about the parameter distribution.
How is this related to adding a regularizer term to a loss function?
Instead of optimizing the posterior directly, one often optimizes negative of the logarithm instead:
θMAP=argminθ−logp(x|y,θ)p(θ)=argminθ−(logp(x|y,θ)+logp(θ))
Assuming you want the parameters θ to be normally distributed around zero, you get logp(θ)∝||θ||^2
Gaussian prior p(θ) = N(0, b^2I) is equivalent to the loss function ∥y − Φθ∥^2 + λ ∥θ∥^2, λ = σ 2/ b 2.
Minimizing the regularized least-squares loss function yields θRLS = (Φ ⊤Φ + λI) ^−1Φ ⊤ y
"
Classical models,Linear Regression,Bayesian Linear Regression,"Bayesian linear regression pushes the idea of the parameter prior a step regression further and does not even attempt to compute a point estimate of the parameters, but instead the full posterior distribution over the parameters is taken into account when making predictions. This means we do not fit any parameters, but we compute a mean over all plausible parameters settings (according to the posterior).
In Bayesian linear regression, we consider the model 
prior p(θ) = N(m0, S0),
likelihood p(y|x, θ) = N(y| ϕ ⊤ (x)θ, σ2)
where we now explicitly place a Gaussian prior on θ, which turns the parameter vector into a random variable.
In practice, we are usually not so much interested in the parameter values θ themselves. Instead, our focus often lies in the predictions we make with those parameter values. In a Bayesian setting, we take the parameter distribution and average over all plausible parameter settings when we make predictions. More specifically, to make predictions at an input x∗, we integrate out θ.
"
Classical models,Linear Regression,Your linear regression didn’t run and communicates that there are an infinite number of best estimates for the regression coefficients. What could be wrong?,"p > n.
If some of the explanatory variables are perfectly correlated (positively or negatively) then the coefficients would not be unique. 
"
Classical models,Linear Regression,What kind of regularization techniques are applicable to linear models? ,"AIC/BIC, Ridge regression, Lasso, Elastic Net, Basis pursuit denoising, Rudin–Osher–Fatemi model (TV), Potts model, RLAD, Dantzig Selector, SLOPE
"
Classical models,Linear Regression,"You have several variables that are positively correlated with your response, and you think combining all of the variables could give you a good prediction of your response. However, you see that in the multiple linear regression, one of the weights on the predictors is negative. What could be the issue?","Multicollinearity refers to a situation in which two or more explanatory variables in a multiple regression model are highly linearly related. 
Leave the model as is, despite multicollinearity. The presence of multicollinearity doesn't affect the efficiency of extrapolating the fitted model to new data provided that the predictor variables follow the same pattern of multicollinearity in the new data as in the data on which the regression model is based.
principal component regression
"
